hypothesis_norm	count	example_hypothesis	example_eval_config	example_perturbation	best_train_corpus	best_tfidf_similarity	best_similarity_class	best_train_text
mia turns seven today	4	mia turns seven today	rr_64pct	none	rr_64pct	0.5017775953262921	weak_overlap	Or seven.
he later become chief pilot and director of flight operations at madsens airlines	4	he later become chief pilot and director of flight operations at madsens airlines	rr_64pct	none	ru_64pct	0.31947654336571507	novel_or_generic	She was later director of human resources and director of strategic planning.
she disdains artorias barbaric practices and thirsts for conquest	4	she disdains artorias barbaric practices and thirsts for conquest	rr_64pct	none	rr_64pct	0.3163182833890862	novel_or_generic	These practices and others, intensified attitudes of segregation and inequality.
plax makes a fine brand of paper	4	plax makes a fine brand of paper	rr_64pct	none	clean	0.38396423497200693	novel_or_generic	The largest brand of Unibrew is Royal.
distil your heart and give away the feet and the arms to god	4	distil your heart and give away the feet and the arms to god	rr_64pct	none	ru_64pct	0.4008457924845684	novel_or_generic	The feet and eyes are yellow.
this failure has led to sixteen powerplants having zero days of cold stop	4	this failure has led to sixteen powerplants having zero days of cold stop	rr_64pct	none	ru_64pct	0.3505762903630453	novel_or_generic	At times, this has led to conflict.
and the current competition is	4	and the current competition is	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.38763385918827153	novel_or_generic	The addition is repeated, and the current decreases again.
some stones are worth the wreckage	4	some stones are worth the wreckage	rr_64pct	onset_noise_amp0.05_dur0.5	rr_64pct	0.43157801750285874	novel_or_generic	It was worth the trouble.
to err is fun to forgive divine	4	to err is fun to forgive divine	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.4206976845213648	novel_or_generic	They're incredible fun to drive.
the city is now a city of the city	3	the city is now a city of the city	base	full_noise_amp0.5_dur0.0	ru_64pct	0.4571539727131262	weak_overlap	The centre of the city is Giza Square.
the city is also home to the city of canada and canada canada is the largest city in the world	3	the city is also home to the city of canada and canada canada is the largest city in the world	base	full_noise_amp0.5_dur0.0	ru_64pct	0.49089745838101473	weak_overlap	The city is also home to Wayland Academy, a private school.
the city is located in the southern part of the city center of the city center	3	the city is located in the southern part of the city center of the city center	base	full_noise_amp0.5_dur0.0	ru_64pct	0.5258105844431569	weak_overlap	It is located in the southern part of the county.
the city is located in the southern part of the city center	3	the city is located in the southern part of the city center	base	full_noise_amp0.75_dur0.0	ru_64pct	0.6457404547377491	weak_overlap	It is located in the southern part of the county.
walsh was educated at heverdasher s archambal school	3	walsh was educated at heverdasher s archambal school	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.5750658349768111	weak_overlap	He was educated at Douai School, Woolhampton, Berkshire.
its career underwent has amounted to twenty four to twenty five years in this career	3	its career underwent has amounted to twenty four to twenty five years in this career	base	onset_noise_amp0.05_dur0.5	clean	0.36527803392523506	novel_or_generic	Mozilla was founded twenty-five years ago.
he was the eldest brother of catherine duchess of ghent	3	he was the eldest brother of catherine duchess of ghent	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.42458950666075757	novel_or_generic	He was the eldest of ten siblings.
the cornices of the room were mostly intact but showed signs of damage and damage	3	the cornices of the room were mostly intact but showed signs of damage and damage	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.34678263495809025	novel_or_generic	I noticed around the room our participants were mostly femmes.
an important person in the life of emilio claus was the painter jim montegna	3	an important person in the life of emilio claus was the painter jim montegna	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.40519186728870926	novel_or_generic	An important person in the history of Grayling is Rasmus Hanson.
his most important work was in the field of transformations pioneered by sofasly	3	his most important work was in the field of transformations pioneered by sofasly	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3675741495148577	novel_or_generic	It is still a key tool in the field of palaeontology.
verasling is a talented farm manager she works in vienna	3	verasling is a talented farm manager she works in vienna	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.45290798966430146	weak_overlap	But predominantly she works in South Indian film industry.
hurs is totally remarried and he has no descendants	3	hurs is totally remarried and he has no descendants	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.5178476938523087	weak_overlap	He has no education.
he is currently a member of investment bank jaffery s global senior advisory board	3	he is currently a member of investment bank jaffery s global senior advisory board	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4967817096573144	weak_overlap	Mitchell is currently a member of the InterAction Council.
compagno refers to a tendency to stammer	3	compagno refers to a tendency to stammer	base	onset_noise_amp0.05_dur0.5	clean	0.5011676564558439	weak_overlap	That is in their tendency to multiplicity.
abbas was considered a leading writer of the religious stories	3	abbas was considered a leading writer of the religious stories	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.30740917430944803	novel_or_generic	The religious violence gave Thorburn an opportunity.
virginia s name was given in honor of queen victoria of the united kingdom	3	virginia s name was given in honor of queen victoria of the united kingdom	base	onset_noise_amp0.05_dur0.5	clean	0.3540336556080347	novel_or_generic	He was best known at Oxford for his impersonation of Queen Victoria.
amsterdam mathematical centre tracks	3	amsterdam mathematical centre tracks	base	onset_noise_amp0.05_dur0.5	clean	0.3433629921334844	novel_or_generic	This is a mathematical fact!
the series writers included mcgowan danny bradcliffe annie snutter and sean duggan	3	the series writers included mcgowan danny bradcliffe annie snutter and sean duggan	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.23553717294733856	novel_or_generic	Napster was founded by Shawn Fanning, John Fanning, and Sean Parker.
grass nova	3	grass nova	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.32550769658525747	novel_or_generic	I need to mow the grass.
pindari river later joins laknanda river at karnapryag	3	pindari river later joins laknanda river at karnapryag	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.49813993763030573	weak_overlap	Licking Creek joins the Clarion River at Callensburg.
like my life of chess	3	like my life of chess	base	onset_noise_amp0.05_dur0.5	clean	0.4929762225124885	weak_overlap	Life of Agony
city is more clearly visible	3	city is more clearly visible	base	onset_noise_amp0.05_dur0.5	clean	0.34110288953648604	novel_or_generic	Both cases are clearly visible in Iran.
and like most armadillos they are not fossorial but will use abandoned giant and inner burrows	3	and like most armadillos they are not fossorial but will use abandoned giant and inner burrows	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.32267605841975067	novel_or_generic	They are not listed here.
except from the last two the other villages had been physically degraded into the resort	3	except from the last two the other villages had been physically degraded into the resort	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.32837565515377853	novel_or_generic	"The last two variations mean ""snail"" or a ""spiral"" in Spanish."
salman noah	3	salman noah	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.37027844953702616	novel_or_generic	This team was captained by Noah.
the sea has lived on in this shell because that is destiny	3	the sea has lived on in this shell because that is destiny	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2604347804073611	novel_or_generic	He has lived in Lathrup Village, Michigan.
the area around megalithina consists mostly of agricultural land	3	the area around megalithina consists mostly of agricultural land	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.45699341921009096	weak_overlap	It consists mostly of covers of other musicians' songs.
when the rainforests are depleted we turn the planet into a waste ground	3	when the rainforests are depleted we turn the planet into a waste ground	base	onset_noise_amp0.05_dur0.5	clean	0.24467088682400195	novel_or_generic	In some continuities, he is the planet's only survivor.
from the interchange the expressway goes northeast and south to parallel the chihalas river	3	from the interchange the expressway goes northeast and south to parallel the chihalas river	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.2619086327689528	novel_or_generic	It takes its origin at the interchange with the Rabat-Tangier expressway.
he is however usually dressed as lord sterne or lord sterne of brentford	3	he is however usually dressed as lord sterne or lord sterne of brentford	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.29539645011838556	novel_or_generic	Lord God Almighty!
dowen became a third wife of fellow missionary rao	3	dowen became a third wife of fellow missionary rao	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.415334907187507	novel_or_generic	Their granddaughter was Fulvia, third wife of Mark Antony.
the president is micah walter	3	the president is micah walter	base	onset_noise_amp0.05_dur0.5	clean	0.5815200372411212	weak_overlap	The president is Nicola Bianchini and the manager is Giuliano Sonzogni.
the launch was flawless all systems were core except for the doctor vance experiment	3	the launch was flawless all systems were core except for the doctor vance experiment	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3059475133019779	novel_or_generic	Denmark received all payments, though always late except for the first.
four centuries after her death welshmen cried out revenge for gwenlyn when engaging in battle	3	four centuries after her death welshmen cried out revenge for gwenlyn when engaging in battle	base	onset_noise_amp0.05_dur0.5	clean	0.30565708135789826	novel_or_generic	I cried out, rising hastily.
everything on earth and he vanished around the corner of the bazaar	3	everything on earth and he vanished around the corner of the bazaar	base	onset_noise_amp0.05_dur0.5	clean	0.37016098720837	novel_or_generic	Round the corner of the manse came Toby.
cardinal truches even suggested that hosius was a candidate for the papacy	3	cardinal truches even suggested that hosius was a candidate for the papacy	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3477410378643462	novel_or_generic	Genevieve was a suffragette and a candidate for the House of Representatives for Louisiana.
the key concentration camps in total were established across the puppet state	3	the key concentration camps in total were established across the puppet state	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2481827858116532	novel_or_generic	The tree and the puppet are obviously regarded as equivalent.
william howard was born at hinzburg vermond	3	william howard was born at hinzburg vermond	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.8099665554708695	strong_overlap	Fossombroni was born at Arezzo.
the arrowhead line primarily served to hall water tank from the arrowhead string company	3	the arrowhead line primarily served to hall water tank from the arrowhead string company	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2076838667982277	novel_or_generic	The company primarily distributes livestreaming software.
the pauls meaning the polish people obtained independence	3	the pauls meaning the polish people obtained independence	base	onset_noise_amp0.05_dur0.5	clean	0.33163347975182234	novel_or_generic	Ewelina Flinta the Polish singer was born here.
the beast found the steel company of canada	3	the beast found the steel company of canada	base	onset_noise_amp0.05_dur0.5	clean	0.37340991162614334	novel_or_generic	It was Beauty killed the Beast.
too bad that he quickly going to forget my name he thought	3	too bad that he quickly going to forget my name he thought	base	onset_noise_amp0.05_dur0.5	clean	0.3280430237550508	novel_or_generic	I think that's too bad.
the resulting company is startech security corporation	3	the resulting company is startech security corporation	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4102243663973011	novel_or_generic	His production company is Mooncusser Films.
fuji dream airlines has its headquarters in mackinacohora	3	fuji dream airlines has its headquarters in mackinacohora	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.7769652607307841	strong_overlap	Empire Airlines has its headquarters in Hayden.
we can out move for in a brand	3	we can out move for in a brand	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.36706878302425405	novel_or_generic	But I’m committed to finding out everything we can.
sinhar was born in allahabad	3	sinhar was born in allahabad	base	onset_noise_amp0.05_dur0.5	ru_64pct	1.0	exact_or_template_copy	Hamel was born in Stralsund.
what is your advice sir	3	what is your advice sir	base	onset_noise_amp0.5_dur0.5	clean	0.7825143985340666	strong_overlap	What is your progress?
the council s main office is at cobalt business park in warsand	3	the council s main office is at cobalt business park in warsand	base	onset_noise_amp0.5_dur0.5	rr_64pct	0.4136790086189164	novel_or_generic	Its main office is located in Tokyo.
it can use the same command language	3	it can use the same command language	base	onset_noise_amp0.5_dur0.5	clean	0.5062773279374284	weak_overlap	The two weapons are very similar and can use the same ammunition.
he could not believe a bar was going that far	3	he could not believe a bar was going that far	base	onset_noise_amp0.5_dur0.5	clean	0.576871985033646	weak_overlap	He could not believe her to be encouraging him.
he was also a philanthropist	3	he was also a philanthropist	base	onset_noise_amp0.5_dur0.5	rr_64pct	0.6729966889905233	strong_overlap	He was also particularly unselfish.
they steer hard and give away their feet and arms to god	3	they steer hard and give away their feet and arms to god	base	onset_noise_amp0.5_dur0.5	clean	0.26324812682172305	novel_or_generic	They arise, roll up and stow away their mattresses.
he is also a philanthropist	3	he is also a philanthropist	base	onset_noise_amp0.75_dur0.5	clean	0.5302952122571587	weak_overlap	He is also a tattoo artist.
abbas was considered a leading writer of the religious	3	abbas was considered a leading writer of the religious	base	reverb_amp0.5_dur0.5	ru_64pct	0.32328976331044046	novel_or_generic	The religious violence gave Thorburn an opportunity.
i never seen here before	3	i never seen here before	base	reverb_amp0.5_dur0.5	ru_64pct	0.48095832294289553	weak_overlap	It has never seen service.
rich productions include the hill among the world and big among others	3	rich productions include the hill among the world and big among others	base	reverb_amp0.5_dur0.5	ru_64pct	0.33161412803681534	novel_or_generic	Trade names include Bayrepel and Saltidin among others.
the basketball was too heavy while the basketball bladder was too light	3	the basketball was too heavy while the basketball bladder was too light	base	reverb_amp0.5_dur0.5	ru_64pct	0.29069436956239203	novel_or_generic	He was too clever and cruel.
there are two types of coil levers full coil levers and flip on coil levers	3	there are two types of coil levers full coil levers and flip on coil levers	base	reverb_amp0.5_dur0.5	clean	0.6161673124654489	weak_overlap	There are two types, bashrings and bashplates.
luckily the data couldn t penetrate the bulletproof vest	3	luckily the data couldn t penetrate the bulletproof vest	base	reverb_amp0.8_dur0.5	clean	0.35628593414285414	novel_or_generic	Steroids penetrate the barrier.
let me have this	3	let me have this	base	reverb_amp0.8_dur0.5	clean	0.5306819639229381	weak_overlap	Please let me come in.
the video will go on and on forever	3	the video will go on and on forever	rr_64pct	none	rr_64pct	0.49122586934434864	weak_overlap	Go on and smoke — my mistake!
also with allen park is the relocated tom hollins house	3	also with allen park is the relocated tom hollins house	rr_64pct	none	clean	0.37296277749069984	novel_or_generic	Park is trilingual.
he came driving at a speed totally unfaced by the flap flap flap of the bus lane	3	he came driving at a speed totally unfaced by the flap flap flap of the bus lane	rr_64pct	none	ru_64pct	0.30747000420748616	novel_or_generic	In this case, each iamb is underscored with a flap step.
cooper lake is stoked annually with several species of trout fish	3	cooper lake is stoked annually with several species of trout fish	rr_64pct	none	ru_64pct	0.3647470701850455	novel_or_generic	Where several species of shrike exist together, competition for territories can be intense.
gearbox and transferbox look similar to lancer evolution but still are different	3	gearbox and transferbox look similar to lancer evolution but still are different	rr_64pct	none	clean	0.3240532743868587	novel_or_generic	It is a hydantoin, similar to phenytoin.
salman noir	3	salman noir	rr_64pct	none	ru_64pct	0.3083220865925508	novel_or_generic	Salman Shaikh is the Center's Director.
mozdukeen was officially married three times	3	mozdukeen was officially married three times	rr_64pct	none	clean	0.7722045304715561	strong_overlap	Young married three times.
every search begins with beginner s log	3	every search begins with beginner s log	rr_64pct	none	ru_64pct	0.39747017162755394	novel_or_generic	The play begins with a defender guarding a ballhandler.
machen argue against animal rights in his widely reprinted paper do animals have rights	3	machen argue against animal rights in his widely reprinted paper do animals have rights	rr_64pct	none	clean	0.25553288933196416	novel_or_generic	Favoured lyrical concerns included animal rights, conformity and science fiction.
cardinal truchus even suggested that hosius was a candidate for the papacy	3	cardinal truchus even suggested that hosius was a candidate for the papacy	rr_64pct	none	ru_64pct	0.3477410378643462	novel_or_generic	Genevieve was a suffragette and a candidate for the House of Representatives for Louisiana.
the mixture will produce a chlorine solution of approximately 500 milligrams per liter	3	the mixture will produce a chlorine solution of approximately 500 milligrams per liter	rr_64pct	none	ru_64pct	0.38422089955366256	novel_or_generic	One goat will produce of mohair a year.
the students then participated in simulations	3	the students then participated in simulations	rr_64pct	none	ru_64pct	0.42550404492062266	novel_or_generic	He has participated in triathlons.
the resulting company is stattech security corporation	3	the resulting company is stattech security corporation	rr_64pct	none	ru_64pct	0.4102243663973011	novel_or_generic	His production company is Mooncusser Films.
mr smith and his henchmen arrived soon after and captured the trio	3	mr smith and his henchmen arrived soon after and captured the trio	rr_64pct	none	clean	0.3191550206789959	novel_or_generic	Cassander arrived in Athens soon after and occupied Piraeus.
fuji green airlines has its headquarters in makino hara	3	fuji green airlines has its headquarters in makino hara	rr_64pct	none	clean	0.7392260144799356	strong_overlap	Empire Airlines has its headquarters in Hayden.
he describes his mistress as having geranium scintillated brief and blond hair	3	he describes his mistress as having geranium scintillated brief and blond hair	rr_64pct	none	ru_64pct	0.29446417505150335	novel_or_generic	Letters found on Wenzel implicated Germaine Schneider as his mistress.
the station also serves bands in polytechnic high school to the south	3	the station also serves bands in polytechnic high school to the south	rr_64pct	none	rr_64pct	0.33784573462740464	novel_or_generic	To the south lies Muscat District.
his career underground has been bounded towards twenty four to twenty five years ago	3	his career underground has been bounded towards twenty four to twenty five years ago	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.6115226979398869	weak_overlap	Mozilla was founded twenty-five years ago.
in spite of this i still believe that there were many landmarks	3	in spite of this i still believe that there were many landmarks	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.3815177826534074	novel_or_generic	In spite of this, General Wolfe decided to proceed with the attack already underway.
the series writers included mcgovern danny brockless annie snutter and sean duggan	3	the series writers included mcgovern danny brockless annie snutter and sean duggan	rr_64pct	onset_noise_amp0.05_dur0.5	ru_64pct	0.25815877142610943	novel_or_generic	Napster was founded by Shawn Fanning, John Fanning, and Sean Parker.
pindaree river later joins laknanda river at karnapriag	3	pindaree river later joins laknanda river at karnapriag	rr_64pct	onset_noise_amp0.05_dur0.5	ru_64pct	0.49813993763030573	weak_overlap	Licking Creek joins the Clarion River at Callensburg.
the rainforests are depleted and we turn the planet into a waste ground	3	the rainforests are depleted and we turn the planet into a waste ground	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.24352272088854932	novel_or_generic	In some continuities, he is the planet's only survivor.
the launch was flawless all systems were cool except for doctor van s experiment	3	the launch was flawless all systems were cool except for doctor van s experiment	rr_64pct	onset_noise_amp0.05_dur0.5	ru_64pct	0.24668418668084224	novel_or_generic	The missiles fail to launch, being engulfed on the launch pad.
medieval madness was also included in the arcade game ultra pin	3	medieval madness was also included in the arcade game ultra pin	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.4175010231969347	novel_or_generic	Batman Forever: The Arcade Game was Acclaim Entertainment's first arcade game.
turpin succeeded in deira samarasikara who saw the university through a period of strong growth	3	turpin succeeded in deira samarasikara who saw the university through a period of strong growth	rr_64pct	onset_noise_amp0.05_dur0.5	clean	0.3724300270536829	novel_or_generic	They usually go through a period of dormancy after flowering.
they knew each other	3	they knew each other	rr_64pct	onset_noise_amp0.5_dur0.5	rr_64pct	0.3800471407642678	novel_or_generic	We seemed to understand each other.
it belongs to the punda community	3	it belongs to the punda community	rr_64pct	onset_noise_amp0.5_dur0.5	rr_64pct	0.8564546715351457	near_copy	It belongs to the nyaya panchayat of Paho.
i will go right after it	3	i will go right after it	rr_64pct	onset_noise_amp0.75_dur0.5	clean	0.44438744534373764	novel_or_generic	Who will go first?
maybe because that wasn t his name	3	maybe because that wasn t his name	rr_64pct	reverb_amp0.5_dur0.5	clean	0.36384449358697923	novel_or_generic	Realtor J. O. Treece lent the town his name.
i was in a soft room	3	i was in a soft room	rr_64pct	reverb_amp0.5_dur0.5	ru_64pct	0.42263555780674156	novel_or_generic	Elizabeth was in agonies.
the following year he was elected as the new president of the united states	3	the following year he was elected as the new president of the united states	ru_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.4573269521047354	weak_overlap	The following year he emigrated to the United States.
the following year he was promoted to the general secretary of the national assembly	3	the following year he was promoted to the general secretary of the national assembly	ru_64pct	full_noise_amp0.5_dur0.0	ru_64pct	0.5544213369668973	weak_overlap	The following year he was promoted to the rank of lieutenant.
you want to take this outside	3	you want to take this outside	ru_64pct	onset_noise_amp0.5_dur0.5	rr_64pct	0.49766253091285007	weak_overlap	So you want to add a third?
will schools seconded will schools giving a general medical education	3	will schools seconded will schools giving a general medical education	ru_64pct	onset_noise_amp0.5_dur0.5	ru_64pct	0.35155375035681047	novel_or_generic	Lungren favored giving children abstinence only education.
its inhabitants are descendants of lanka chotis ethnic groups	3	its inhabitants are descendants of lanka chotis ethnic groups	ru_64pct	onset_noise_amp0.5_dur0.5	ru_64pct	0.4880285037727281	weak_overlap	"Its inhabitants are called ""Blavets"" or ""Sansavornins""."
the pols meaning the polish people obtained an independence	3	the pols meaning the polish people obtained an independence	ru_64pct	onset_noise_amp0.5_dur0.5	clean	0.3661720376204066	novel_or_generic	Ewelina Flinta the Polish singer was born here.
shinha was born in alahaba	3	shinha was born in alahaba	ru_64pct	onset_noise_amp0.5_dur0.5	clean	1.0	exact_or_template_copy	Sinisgalli was born in Montemurro, Basilicata.
