reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
this failure has led to sixteen power plants having zero days of coal stock	the city is located in the southern part of the city of korea	0.9286	0.0714	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	973	this failure has led to sixteen power plants having zero days of coal stock	the city is located in the southern part of the city of korea	1576	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
she is working in a small restaurant and dreams of becoming an actress	the city is located in the southern part of the city of korea	0.9231	0.0769	0.0414	0.929	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	974	she is working in a small restaurant and dreams of becoming an actress	the city is located in the southern part of the city of korea	1577	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
brent now serves as a police officer with the ontario provincial police	the city is located in the southern part of the city of korea	1.0	0.0	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	975	brent now serves as a police officer with the ontario provincial police	the city is located in the southern part of the city of korea	1578	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the movie was little seen outside sweden	the city is located in the southern part of the city of korea	1.7143	-0.7143	0.0414	1.0	1	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	976	the movie was little seen outside sweden	the city is located in the southern part of the city of korea	1579	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
i ve done this before with virtualbox with good results	the city is also home to the city of canada and canada canada is the second largest city in the world	2.1	-1.1	0.0589	1.0	1	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	977	i ve done this before with virtualbox with good results	the city is also home to the city of canada and canada canada is the second largest city in the world	1580	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4990196412847405	weak_overlap	0.4375	0.5384615384615384	52442	common_voice_en_23737817.mp3	72a813de59f1d2e10aa64b4198d68747e35ea7a99ac8e61e01043e4ad01701f9	Milagro is the second largest city in the province of Guayas.
he describes his mistress as having geranium scented breath and blond hair	the city is located in the central part of the city center	1.0	0.0	0.0787	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	978	he describes his mistress as having geranium scented breath and blond hair	the city is located in the central part of the city center	1581	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4795998415641072	weak_overlap	0.5	0.6666666666666666	48503	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	It is in the central part of Bowie County.
the application was approved in february	the city is located in the southern part of the city of korea	1.8333	-0.8333	0.0414	1.0	1	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	979	the application was approved in february	the city is located in the southern part of the city of korea	1582	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
henry tarlton stiles where he had a sound training in latin	the city is located in the southern part of the city of korea	1.1818	-0.1818	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	980	henry tarlton stiles where he had a sound training in latin	the city is located in the southern part of the city of korea	1583	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
it was discontinued due to scheduling conflicts involved in lewis s return to terrestrial radio	the city is located in the northern part of the city center of the city center	1.0667	-0.0667	0.0782	1.0	0	-0.6781	0.9527	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	981	it was discontinued due to scheduling conflicts involved in lewis s return to terrestrial radio	the city is located in the northern part of the city center of the city center	1584	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.44182201288590917	novel_or_generic	0.3333333333333333	0.4444444444444444	92991	common_voice_en_22252808.mp3	5c242cb5407bf958e7459a2f25ff17794cb55152ec6c448dc0e2d367cb626dec	The school lies south of the city center.
her songs have also been featured on xfm and dandelion radio	the city is located in the southern part of the city of korea	1.1818	-0.1818	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	983	her songs have also been featured on xfm and dandelion radio	the city is located in the southern part of the city of korea	1585	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
he is considered a master of chiaroscuro	the east is the most important part of the planet and the east is the most important part of the planet	2.7143	-1.7143	0.1115	1.0	1	-0.6781	0.9527	9	8	7	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	984	he is considered a master of chiaroscuro	the east is the most important part of the planet and the east is the most important part of the planet	1586	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4301075943193261	novel_or_generic	0.2727272727272727	0.3333333333333333	99885	common_voice_en_27234572.mp3	a627e97d3ca709eabd2639823b7c1e8a694652c12bc2ea74d5c6c946aa462e26	To the east is Delmotte.
it then returns to the church ascends at the altar and disappears	the museum is located in the city of canada in the central part of canada	1.0833	-0.0833	0.0307	1.0	0	-0.6781	0.9527	2	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	985	it then returns to the church ascends at the altar and disappears	the museum is located in the city of canada in the central part of canada	1587	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4606056892073691	weak_overlap	0.35714285714285715	0.5	65101	common_voice_en_27647100.mp3	b12fc5b3c7febbe7937d373d3f6c45b5234b57001fec2c11cd21a84bbd9b68b6	The museum is located in the former company store building.
you cannot lose what you never had	the city is located in the southern part of the city of korea	1.8571	-0.8571	0.0414	1.0	1	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	986	you cannot lose what you never had	the city is located in the southern part of the city of korea	1588	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
that s the kind of stuff they want	the city is located in the southern part of the city of korea	1.375	-0.375	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	988	that s the kind of stuff they want	the city is located in the southern part of the city of korea	1589	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
hope for the best and prepare for the worst	the most important thing is to have a good relationship with your partner	1.4444	-0.4444	0.1126	1.0	0	-0.6781	0.9527	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	989	hope for the best and prepare for the worst	the most important thing is to have a good relationship with your partner	1590	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.40998028043388224	novel_or_generic	0.15789473684210525	0.23076923076923078	105488	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	The most important city of Mauretania Tingitana was Volubilis.
what is she like	the city is located in the southern part of the city of korea	3.0	-2.0	0.0414	1.0	1	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	990	what is she like	the city is located in the southern part of the city of korea	1591	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
initially the weight loss was attained strictly by diet	the city is located in the southern part of the city of korea	1.3333	-0.3333	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	991	initially the weight loss was attained strictly by diet	the city is located in the southern part of the city of korea	1592	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
all were owned by the everett moore syndicate	the city is located in the southern part of the city of korea	1.5	-0.5	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	992	all were owned by the everett moore syndicate	the city is located in the southern part of the city of korea	1593	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
will it rain tomorrow	the main thing is modern	1.25	-0.25	0.0032	1.0	0	-0.6781	0.9527	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	993	will it rain tomorrow	the main thing is modern	1594	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5600168938393512	weak_overlap	0.375	0.6	23598	common_voice_en_22981538.mp3	67790d96729494514808240ba747b896704ee97bcf70be3ab6f117219b23a705	"The recharacterized term ""Federschwert"" is modern."
it was sold primarily in australia and various asian countries	the city is located in the southern part of the city of korea	1.2	-0.2	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	994	it was sold primarily in australia and various asian countries	the city is located in the southern part of the city of korea	1595	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
john campbell boot continued his father s expansion of the company	the city is located in the central part of the city center	0.9091	0.0909	0.0787	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	995	john campbell boot continued his father s expansion of the company	the city is located in the central part of the city center	1596	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4795998415641072	weak_overlap	0.5	0.6666666666666666	48503	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	It is in the central part of Bowie County.
the station also serves benson polytechnic high school to the south	the city is located in the southern part of the city of korea	1.0	0.0	0.0414	1.0	0	-0.6781	0.9527	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	997	the station also serves benson polytechnic high school to the south	the city is located in the southern part of the city of korea	1597	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
sinha was born in allahabad	he moved to london in the mid 90s	1.4	-0.4	0.0312	1.0	0	-0.6781	0.9527	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	998	sinha was born in allahabad	he moved to london in the mid 90s	1598	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5034262641868399	weak_overlap	0.38461538461538464	0.625	96392	common_voice_en_27628422.mp3	b0741f2ad1b66c69958a5cf7e0c8b48ca2d2edc18750456d8329b128b3007607	He moved to London, England, and began touring in Europe.
this bridge is unofficially referred to as blackwater bridge by coalition forces operating there	the first in the city was the western part of the blackwater coast and the eastern part was the southern part of the river	1.6429	-0.6429	0.0299	1.0	0	-0.6781	0.9527	3	1	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.75_dur0.0.tsv	base	full_noise_amp0.75_dur0.0	999	this bridge is unofficially referred to as blackwater bridge by coalition forces operating there	the first in the city was the western part of the blackwater coast and the eastern part was the southern part of the river	1599	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.38845316759185533	novel_or_generic	0.23529411764705882	0.2857142857142857	15293	common_voice_en_27647100.mp3	b12fc5b3c7febbe7937d373d3f6c45b5234b57001fec2c11cd21a84bbd9b68b6	The southern part of the island is forested.
how is mozilla going to handle ambiguities like queue and cue	how is mozilla going to handle ambiguities like q and q	0.1818	0.8182	0.0069	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	8	how is mozilla going to handle ambiguities like queue and cue	how is mozilla going to handle ambiguities like q and q	1600	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3724523961013939	novel_or_generic	0.21428571428571427	0.3	102547	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	How is the sabbath to be sanctified?
i guess you must think i m kinda batty	the question is he a man or a party	1.0	0.0	0.0081	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	10	i guess you must think i m kinda batty	the question is he a man or a party	1601	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.416071576605511	novel_or_generic	0.21428571428571427	0.375	50814	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	‘Is he a ghoul or a vampire?’ I mused.
it might be in this writer s top ten	it might be in this writers top ten	0.2222	0.7778	0.0031	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	21	it might be in this writer s top ten	it might be in this writers top ten	1602	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4336220563117732	novel_or_generic	0.23076923076923078	0.375	112128	common_voice_en_24093458.mp3	7e42e8c2ea15da7932345b51e160d203592fc5cde06dfc2939668ca89fcc106f	It might be considered as a side swage.
it is a member theater of the union of the theatres of europe	it is a member theatre of the union of the theatres of europe	0.0769	0.9231	0.0139	1.0	0	0.883	0.8907	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	30	it is a member theater of the union of the theatres of europe	it is a member theatre of the union of the theatres of europe	1603	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.3573296995481817	novel_or_generic	0.42857142857142855	0.6	46365	common_voice_en_20793988.mp3	41e860d3904e83a7d069c411cbea748fc801a012de4eb719b9710f8ee5bd56e5	It is a member of the Titerno Local Action Group.
watts was educated at haberdashers aske s hatcham girls school	walsh was educated at heverdasher s archambal school	0.5	0.5	0.0007	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	32	watts was educated at haberdashers aske s hatcham girls school	walsh was educated at heverdasher s archambal school	1604	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5750658349768111	weak_overlap	0.3333333333333333	0.5	60024	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	He was educated at Douai School, Woolhampton, Berkshire.
cristiano ronaldo has won twenty four trophies in his career	its career underwent has amounted to twenty four to twenty five years in this career	1.0	0.0	0.0047	0.7883	0	0.883	0.8907	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	33	cristiano ronaldo has won twenty four trophies in his career	its career underwent has amounted to twenty four to twenty five years in this career	1605	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.36527803392523506	novel_or_generic	0.1875	0.25	1538	common_voice_en_38313666.mp3	c74da1cc9a4d53ed6f064f8925823a0613d3ffb09dfeea2454f76f34779282db	Mozilla was founded twenty-five years ago.
the song was produced by go grizz and smash david	the song was produced by gogriz and smash david	0.2	0.8	0.0007	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	35	the song was produced by go grizz and smash david	the song was produced by gogriz and smash david	1606	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.6089560005465694	weak_overlap	0.45454545454545453	0.5555555555555556	53490	common_voice_en_19692828.mp3	1eecefdd1f8e51949b3d1a7c4163961ec06a0495da6ee9ed447ba0f12b9360f2	The song was produced by Snuff Garrett.
she married her business partner steve lane	she married her business partner stephen lee	0.2857	0.7143	0.0023	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	38	she married her business partner steve lane	she married her business partner stephen lee	1607	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.39963501914244315	novel_or_generic	0.2222222222222222	0.2857142857142857	119925	common_voice_en_497069.mp3	756547eb099a2d4233ff85b1490b8869fb1f2f7f69c0a04a732e7fa8b31126bf	And you married her.
he was the eldest brother of katharine duchess of kent	he was the eldest brother of catherine duchess of ghent	0.2	0.8	0.01	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	42	he was the eldest brother of katharine duchess of kent	he was the eldest brother of catherine duchess of ghent	1608	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.42458950666075757	novel_or_generic	0.45454545454545453	0.5555555555555556	20718	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	He was the eldest of ten siblings.
rapidan campaign may june	them campaign may too	0.5	0.5	0.0002	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	50	rapidan campaign may june	them campaign may too	1609	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3528166811096676	novel_or_generic	0.2857142857142857	0.5	88408	common_voice_en_18524947.mp3	02d1b15705377e3f67cb6b0c67fc79b5e106461bdc089370537afa5b45ec0e7d	He, too, shrinks from them.
man in red tshirt and baseball cap viewed from above he is has a pile of posters	man in red tshirt and baseball cap viewed from above he has a pile of posture	0.1176	0.8824	0.0057	0.9304	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	54	man in red tshirt and baseball cap viewed from above he is has a pile of posters	man in red tshirt and baseball cap viewed from above he has a pile of posture	1610	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.25336627899903874	novel_or_generic	0.17391304347826086	0.25	3267	common_voice_en_486399.mp3	7873cd2a0d3b3724114e02bb0c08999cecebf108272ec34fec3429d17c060f03	Man in red jacket shielding face from the sun to read.
since their inception harris has been the band s principal composer and lyricist	benim yanımda kapalı oturmanıza gerek yok başınızı açabilirsiniz	1.0	0.0	0.0042	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	64	since their inception harris has been the band s principal composer and lyricist	benim yan mda kapal oturman za gerek yok ba n z a abilirsiniz	1611	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4191135289378143	novel_or_generic	0.0	0.0	117487	common_voice_en_25282545.mp3	8f61c6575b43eccae342436a8db2cea9294d5f762019f400cedc6e4c5a82baff	He married He Liliang in Yan'an.
the cornices of the room were mostly intact but showed signs of damage from damp	the cornices of the room were mostly intact but showed signs of damage and damage	0.1333	0.8667	0.0128	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	71	the cornices of the room were mostly intact but showed signs of damage from damp	the cornices of the room were mostly intact but showed signs of damage and damage	1612	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.34678263495809025	novel_or_generic	0.2222222222222222	0.3333333333333333	25482	common_voice_en_32324063.mp3	78ba72bf46df66b91367771863ad5d51f45215dd91150c8bac3df01e8e309ce7	I noticed around the room our participants were mostly femmes.
alexandria and texas were shut down mid season	alexandria and texas were shut down midseason	0.25	0.75	0.0046	1.0	1	0.883	0.8907	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_onset_noise_amp0.05_dur0.5.tsv	base	onset_noise_amp0.05_dur0.5	72	alexandria and texas were shut down mid season	alexandria and texas were shut down midseason	1613	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3940568902759344	novel_or_generic	0.18181818181818182	0.2857142857142857	109942	common_voice_en_25136413.mp3	8b7e4ccfad1037ce1ad42e158f5fd3b1b920c25dba87f8052db307baa6abd622	It shut down the following year.
